source,user,timestamp,information
iCalendar,Lauren Klein; Tanvi Sharma,2025-08-15T15:30:00Z,"[External] Updated invitation: Tanvi x Lauren: DxD Maps Chapter  @ Fri Aug 15, 2025 3:30pm - 4pm (EDT) (lauren.klein@emory.edu)"
iCalendar,Lauren Klein; Tanvi Sharma,2025-07-25T12:30:00Z,"[External] Updated invitation: LK <> TS DxD @ Fri Jul 25, 2025 12:30pm - 2pm (EDT) (lauren.klein@emory.edu)"
iCalendar,Margy Adams; Cici Cheung; Shiyao Li; Silas Munro; Tanvi Sharma; Jay Varner,2025-09-08T12:00:00Z,DxD weekly meeting
iCalendar,Margy Adams; Cici Cheung; Shiyao Li; Silas Munro; Tanvi Sharma; Jay Varner,2025-12-15T12:00:00Z,DxD weekly meeting
iCalendar,Margy Adams; Cici Cheung; Shiyao Li; Silas Munro; Tanvi Sharma; Jay Varner,2026-01-26T12:00:00Z,DxD weekly meeting
iCalendar,Margy Adams; Cici Cheung; Shiyao Li; Silas Munro; Tanvi Sharma; Jay Varner,2025-10-27T12:00:00Z,DxD weekly meeting
iCalendar,Margy Adams; Cici Cheung; Shiyao Li; Silas Munro; Tanvi Sharma; Jay Varner,2025-09-29T12:00:00Z,DxD weekly meeting
iCalendar,Margy Adams; Cici Cheung; Shiyao Li; Silas Munro; Tanvi Sharma; Jay Varner,2025-12-08T12:00:00Z,DxD weekly meeting
iCalendar,Margy Adams; Cici Cheung; Shiyao Li; Silas Munro; Tanvi Sharma; Jay Varner,2025-10-06T12:00:00Z,DxD weekly meeting
iCalendar,Margy Adams; Cici Cheung; Shiyao Li; Silas Munro; Tanvi Sharma; Jay Varner,2025-09-22T12:00:00Z,DxD weekly meeting
iCalendar,Margy Adams; Cici Cheung; Lauren Klein; Shiyao Li; Silas Munro; Tanvi Sharma; Jay Varner,2026-02-16T12:00:00Z,DxD weekly meeting
iCalendar,Margy Adams; Cici Cheung; Shiyao Li; Silas Munro; Tanvi Sharma; Jay Varner,2025-11-17T12:00:00Z,DxD weekly meeting
iCalendar,Margy Adams; Cici Cheung; Shiyao Li; Silas Munro; Tanvi Sharma; Jay Varner,2025-12-22T12:00:00Z,DxD weekly meeting
iCalendar,Margy Adams; Cici Cheung; Shiyao Li; Silas Munro; Tanvi Sharma; Jay Varner,2026-01-05T12:00:00Z,DxD weekly meeting
iCalendar,Margy Adams; Cici Cheung; Shiyao Li; Silas Munro; Tanvi Sharma; Jay Varner,2026-02-02T12:00:00Z,DxD weekly meeting
iCalendar,Margy Adams; Cici Cheung; Shiyao Li; Silas Munro; Tanvi Sharma; Jay Varner,2026-02-09T12:00:00Z,DxD weekly meeting
iCalendar,Margy Adams; Cici Cheung; Shiyao Li; Silas Munro; Tanvi Sharma; Jay Varner,2025-12-01T12:00:00Z,DxD weekly meeting
iCalendar,Margy Adams; Shiyao Li; Tanvi Sharma; Jay Varner,2025-05-28T12:00:00Z,DxD weekly meeting (summer schedule)
iCalendar,Margy Adams; Shiyao Li; Silas Munro; Tanvi Sharma; Jay Varner,2025-05-14T11:00:00Z,Chelsy / DxD team / viz call
iCalendar,Margy Adams; Shiyao Li; Tanvi Sharma; Jay Varner,2025-05-12T13:00:00Z,DxD weekly meeting (summer schedule)
iCalendar,Margy Adams; Lauren Klein; Shiyao Li; Tanvi Sharma; Jay Varner,2025-08-25T13:00:00Z,DxD weekly meeting (summer schedule)
iCalendar,Margy Adams; Lauren Klein; Shiyao Li; Tanvi Sharma; Jay Varner,2025-08-18T13:00:00Z,DxD weekly meeting (summer schedule)
iCalendar,Margy Adams; Lauren Klein; Shiyao Li; Tanvi Sharma; Jay Varner,2025-08-11T13:00:00Z,DxD weekly meeting (summer schedule)
iCalendar,Margy Adams; Lauren Klein; Shiyao Li; Tanvi Sharma; Jay Varner,2025-08-04T13:00:00Z,DxD weekly meeting (summer schedule)
iCalendar,Margy Adams; Lauren Klein; Shiyao Li; Tanvi Sharma; Jay Varner,2025-06-09T13:00:00Z,DxD weekly meeting (summer schedule)
iCalendar,Margy Adams; Lauren Klein; Shiyao Li; Tanvi Sharma; Jay Varner,2025-06-02T13:00:00Z,DxD weekly meeting (summer schedule)
iCalendar,Margy Adams; Shiyao Li; Yang Li; Silas Munro; Tanvi Sharma; Jay Varner,2024-09-09T13:30:00Z,DxD weekly meeting
iCalendar,Margy Adams; Lauren Klein; Shiyao Li; Yang Li; Silas Munro; Tanvi Sharma; Jay Varner,2025-02-17T14:00:00Z,DxD weekly meeting
iCalendar,Margy Adams; Lauren Klein; Shiyao Li; Yang Li; Silas Munro; Tanvi Sharma; Jay Varner,2024-09-30T13:30:00Z,DxD weekly meeting
iCalendar,Margy Adams; Lauren Klein; Shiyao Li; Yang Li; Silas Munro; Tanvi Sharma; Jay Varner,2024-11-25T13:30:00Z,DxD weekly meeting
iCalendar,Margy Adams; Lauren Klein; Shiyao Li; Yang Li; Silas Munro; Tanvi Sharma; Jay Varner,2025-05-05T14:00:00Z,DxD weekly meeting
iCalendar,Margy Adams; Lauren Klein; Shiyao Li; Yang Li; Silas Munro; Tanvi Sharma; Jay Varner,2025-02-03T13:30:00Z,DxD weekly meeting
iCalendar,Margy Adams; Lauren Klein; Shiyao Li; Yang Li; Silas Munro; Tanvi Sharma; Jay Varner,2024-09-23T13:30:00Z,DxD weekly meeting
iCalendar,Margy Adams; Lauren Klein; Shiyao Li; Yang Li; Silas Munro; Tanvi Sharma; Jay Varner,2025-04-14T13:30:00Z,DxD weekly meeting
iCalendar,Margy Adams; Lauren Klein; Shiyao Li; Yang Li; Silas Munro; Tanvi Sharma; Jay Varner,2025-03-03T14:00:00Z,DxD weekly meeting
iCalendar,Margy Adams; Lauren Klein; Shiyao Li; Yang Li; Silas Munro; Tanvi Sharma; Jay Varner,2024-11-11T13:30:00Z,DxD weekly meeting
iCalendar,Margy Adams; Lauren Klein; Shiyao Li; Yang Li; Silas Munro; Tanvi Sharma; Jay Varner,2024-09-09T13:30:00Z,DxD weekly meeting
iCalendar,Margy Adams; Lauren Klein; Shiyao Li; Yang Li; Silas Munro; Tanvi Sharma; Jay Varner,2024-12-16T13:00:00Z,DxD weekly meeting
iCalendar,Margy Adams; Lauren Klein; Shiyao Li; Yang Li; Silas Munro; Tanvi Sharma; Jay Varner,2025-03-24T14:00:00Z,DxD weekly meeting
iCalendar,Lauren Klein; Tanvi Sharma; Jay Varner,2024-07-12T13:00:00Z,DxD user testing - Kaelyn McAdams
iCalendar,Lauren Klein; Tanvi Sharma; Jay Varner,2024-07-11T13:00:00Z,DxD user testing - Odelia Larbi-Amoah
iCalendar,Lauren Klein; Tanvi Sharma; Jay Varner,2024-07-03T22:30:00Z,DxD user testing - Gyan Lakhwani
iCalendar,Lauren Klein; Tanvi Sharma; Jay Varner,2024-07-10T15:00:00Z,DxD user testing - Branda Larbi-Amoah
iCalendar,Lauren Klein; Tanvi Sharma; Jay Varner,2024-07-08T14:00:00Z,DxD user testing - Vian Nguyen
iCalendar,Lauren Klein; Tanvi Sharma; Jay Varner,2024-07-05T12:00:00Z,DxD user testing - Dani Roytburg
